group_label,condition,delta_abs_mean,delta_abs_std,delta_rel_mean,delta_rel_std,theta_abs_mean,theta_abs_std,theta_rel_mean,theta_rel_std,alpha1_abs_mean,alpha1_abs_std,alpha1_rel_mean,alpha1_rel_std,alpha2_abs_mean,alpha2_abs_std,alpha2_rel_mean,alpha2_rel_std,alpha_abs_mean,alpha_abs_std,alpha_rel_mean,alpha_rel_std,beta_abs_mean,beta_abs_std,beta_rel_mean,beta_rel_std,gamma_abs_mean,gamma_abs_std,gamma_rel_mean,gamma_rel_std,theta_alpha_ratio_mean,theta_alpha_ratio_std,DTABR_mean,DTABR_std,slowing_ratio_mean,slowing_ratio_std,alpha2_alpha1_ratio_mean,alpha2_alpha1_ratio_std,alpha2_spectral_entropy_mean,alpha2_spectral_entropy_std,alpha2_posterior_abs_mean,alpha2_posterior_abs_std,alpha2_posterior_rel_mean,alpha2_posterior_rel_std,alpha2_occipital_abs_mean,alpha2_occipital_abs_std,alpha2_occipital_rel_mean,alpha2_occipital_rel_std,alpha2_frontal_abs_mean,alpha2_frontal_abs_std,alpha2_frontal_rel_mean,alpha2_frontal_rel_std,alpha2_asymmetry_mean,alpha2_asymmetry_std,alpha2_peak_freq_mean,alpha2_peak_freq_std,alpha2_perm_entropy_mean,alpha2_perm_entropy_std,ms_A_coverage_mean,ms_A_coverage_std,ms_A_mean_dur_ms_mean,ms_A_mean_dur_ms_std,ms_A_occurrence_mean,ms_A_occurrence_std,ms_B_coverage_mean,ms_B_coverage_std,ms_B_mean_dur_ms_mean,ms_B_mean_dur_ms_std,ms_B_occurrence_mean,ms_B_occurrence_std,ms_C_coverage_mean,ms_C_coverage_std,ms_C_mean_dur_ms_mean,ms_C_mean_dur_ms_std,ms_C_occurrence_mean,ms_C_occurrence_std,ms_D_coverage_mean,ms_D_coverage_std,ms_D_mean_dur_ms_mean,ms_D_mean_dur_ms_std,ms_D_occurrence_mean,ms_D_occurrence_std,ms_GEV_mean,ms_GEV_std,ms_trans_AB_mean,ms_trans_AB_std,ms_trans_AC_mean,ms_trans_AC_std,ms_trans_AD_mean,ms_trans_AD_std,ms_trans_BA_mean,ms_trans_BA_std,ms_trans_BC_mean,ms_trans_BC_std,ms_trans_BD_mean,ms_trans_BD_std,ms_trans_CA_mean,ms_trans_CA_std,ms_trans_CB_mean,ms_trans_CB_std,ms_trans_CD_mean,ms_trans_CD_std,ms_trans_DA_mean,ms_trans_DA_std,ms_trans_DB_mean,ms_trans_DB_std,ms_trans_DC_mean,ms_trans_DC_std
AD,eyes_open,1.655743122664082e-10,1.7906212902583565e-10,0.8727640988722543,0.098386364284341,1.3817947306934345e-11,1.7792436797470568e-11,0.08567356514075325,0.05830729192086425,6.536254230415289e-12,8.378939854047848e-12,0.042595614808634295,0.03886228609853057,3.871970660156209e-12,5.791301961022777e-12,0.02528200913016632,0.027633286785069766,4.960788295164089e-12,6.794186113067357e-12,0.03221625049704004,0.03141975945004898,1.4406439803996608e-12,2.7817898411778234e-12,0.00934608548995239,0.010286616370786721,4.276902212217216e-13,8.523610515348257e-13,0.0031970090257280944,0.004059657483020166,3.0770745704839753,0.965212205407453,33.155449684459626,14.190658665483078,31.048667073885994,13.40364787682017,0.6097577984998577,0.24301485367908332,2.7475368364920483,0.04289644329271367,4.200593540647916e-12,5.6284749156133816e-12,0.028329802904490657,0.030527254786309774,4.8483098313320675e-12,5.2696909433774515e-12,0.032106531457020124,0.03430709076266612,3.723272068197358e-12,5.80926654507551e-12,0.023390242604313185,0.025362089707030508,-0.03499892060446731,0.14468816656988912,10.083333333333334,0.2803059552906939,0.5089639481116315,0.0013897714783972733,0.23659829565990143,0.08172646064669876,16.231205584470352,3.8018976723769677,14.613489584278101,4.410767440873362,0.2538779250943135,0.0848709575702833,16.66313805678586,4.36587227654795,15.606488037916165,4.635296027749164,0.3003172200193289,0.08830072936503791,18.76249236471532,5.518620460486405,16.361865119025847,4.057730324559071,0.2092065592264562,0.08205875411161209,15.930042019920146,5.256712778665899,13.222402025982575,4.583309565992764,0.6427907433494626,0.06986085145443088,0.0916561814250031,0.03363996800476822,0.09585830399760456,0.037626537796307015,0.07270686154324657,0.03329896997895422,0.08425976437696821,0.033879503399401274,0.09859864942192892,0.04002552222187384,0.07422341484345743,0.03565499935488531,0.07678049474415165,0.029411443729722635,0.08434684504989774,0.03430226872641138,0.06767320140799161,0.027281870669577643,0.08025306345130387,0.03353675838981274,0.09107527879559427,0.043196341682388985,0.10568757541377599,0.043454362001821206
FTD,eyes_open,1.215638349444652e-10,4.9452656143240524e-11,0.8594699363418833,0.10981014736196407,9.442132469822133e-12,4.86155215063037e-12,0.08034959422655376,0.03641954438641778,4.804021864782772e-12,3.7159690156162715e-12,0.06314698911980131,0.09298113161167082,2.835394562735214e-12,1.9414249432819812e-12,0.03353624168382845,0.03789375875525052,3.546365489716207e-12,2.2140852057665596e-12,0.04473537580172265,0.058528582768567504,9.46263145043467e-13,6.318806782271639e-13,0.015445093629840279,0.026492508769488034,3.3792158981023876e-13,3.366783311806413e-13,0.009251380465444676,0.024126257153533517,2.7477571549235216,1.0663283498444749,30.303311595617842,15.318087816009726,28.21564123021406,14.327840918582242,0.6460220012514801,0.2570728550656505,2.7115658396541518,0.13988476068932207,3.725127554896991e-12,3.884188068798816e-12,0.041350636479320635,0.04785537984696719,5.408802238720722e-12,7.258518737040332e-12,0.05073865537681475,0.05567994995933329,2.2881602712195604e-12,1.1009508416532552e-12,0.02770702547145877,0.031425655679886956,0.002698219397234377,0.07508431998573488,10.23913043478261,0.6719977884398011,0.5096298636283408,0.0025372562097828537,0.2583321979380741,0.0599106255680983,14.51027391952498,4.729383893868979,18.72269033419785,4.962512861050083,0.2723731632391016,0.06140759325119181,14.828494560660854,4.277953432935695,19.33677034598079,5.3619387296237235,0.26098936828668945,0.08052856091247794,14.960470211864891,4.800125608368314,18.274359985289845,6.056727368163947,0.20830527053613485,0.0686757175772023,13.547736024985273,4.041061909391554,16.18666095486832,6.51361663619032,0.6091835262740677,0.07764795328285565,0.11315902672605073,0.04065930893210295,0.0983299822665497,0.043177659519923625,0.0915575988588885,0.04808601309872794,0.10567367915829533,0.03135839720607688,0.10294689043432598,0.03993265238622224,0.08221367902015957,0.040409725273916244,0.09695391926608535,0.03659459196595338,0.10949548952954924,0.035320342734177515,0.08473767187455455,0.04061472862782523,0.10721097526319072,0.03007357128464946,0.10442413715445886,0.038892905455617084,0.10616352145595866,0.04384202501889128
CN,eyes_open,2.423621659912784e-10,3.1494328182744456e-10,0.8410950772220068,0.13751598994009642,5.832117878455441e-11,1.7548710453684845e-10,0.08642250737733197,0.06510572493362396,3.713711922380631e-11,1.0068185439288713e-10,0.08969875037522124,0.11229698286624788,2.396474176014399e-11,7.145517280887661e-11,0.04032510147496969,0.03741146109346881,2.9783078815970247e-11,8.554746943037324e-11,0.059852599921761965,0.0656460542244224,7.833188193335578e-12,2.5000329220484543e-11,0.012629815478899156,0.018575958026875686,2.2593817883372787e-12,7.487665324818213e-12,0.0034067308133308534,0.005999754751833157,2.0279815755301187,0.9231769380757868,24.485757722658533,14.489455330866083,23.464616443138002,13.677075946908028,0.6141558783171217,0.33471037478256277,2.6532853950566713,0.13581046877885355,2.617275126833961e-11,7.127619986321475e-11,0.0542892188180008,0.0458144828669233,2.960774169941147e-11,7.076239391123377e-11,0.06771395137564674,0.05031828263322182,2.282530271671635e-11,7.171485243847208e-11,0.031673738120879535,0.03233774640307325,-0.005893454431049598,0.06067032285522224,10.189655172413794,0.4100042051929006,0.5071410186974651,0.0023127722962280064,0.2575835509457943,0.03879615230288415,14.658799141082127,2.907069629846176,17.933339788154125,2.93804998624281,0.2282035892044645,0.059490319517031064,14.098116532678095,2.132197697405878,16.55077656121564,4.9337537791842925,0.2815063755854583,0.06318395825376096,16.015425424040252,3.0114793793182346,17.708231700108353,4.037104912841389,0.23270648426428286,0.06000210810167076,14.650780670773822,3.2030891843870357,15.930282396922658,3.090461846042833,0.6606488464981685,0.07538693493235595,0.09180671539235079,0.03383039291303839,0.10189580142090772,0.032644076983032656,0.08918595052874681,0.022367476147253755,0.10552860089392252,0.020214768909163485,0.09248628023624762,0.028370895376227504,0.09185503529973615,0.028128123590207135,0.09260571583217882,0.023249970151335366,0.09097262728376837,0.02970408730437235,0.07538803661781071,0.025059061549305994,0.09768594684471031,0.0294547223655471,0.08234132619845612,0.034257227938237565,0.10636925205860286,0.03358157158946432
