group_label,condition,delta_abs_mean,delta_abs_std,delta_rel_mean,delta_rel_std,theta_abs_mean,theta_abs_std,theta_rel_mean,theta_rel_std,alpha1_abs_mean,alpha1_abs_std,alpha1_rel_mean,alpha1_rel_std,alpha2_abs_mean,alpha2_abs_std,alpha2_rel_mean,alpha2_rel_std,alpha_abs_mean,alpha_abs_std,alpha_rel_mean,alpha_rel_std,beta_abs_mean,beta_abs_std,beta_rel_mean,beta_rel_std,gamma_abs_mean,gamma_abs_std,gamma_rel_mean,gamma_rel_std,theta_alpha_ratio_mean,theta_alpha_ratio_std,DTABR_mean,DTABR_std,slowing_ratio_mean,slowing_ratio_std,alpha2_alpha1_ratio_mean,alpha2_alpha1_ratio_std,alpha2_spectral_entropy_mean,alpha2_spectral_entropy_std,alpha2_posterior_abs_mean,alpha2_posterior_abs_std,alpha2_posterior_rel_mean,alpha2_posterior_rel_std,alpha2_occipital_abs_mean,alpha2_occipital_abs_std,alpha2_occipital_rel_mean,alpha2_occipital_rel_std,alpha2_frontal_abs_mean,alpha2_frontal_abs_std,alpha2_frontal_rel_mean,alpha2_frontal_rel_std,alpha2_asymmetry_mean,alpha2_asymmetry_std,alpha2_peak_freq_mean,alpha2_peak_freq_std,alpha2_perm_entropy_mean,alpha2_perm_entropy_std,ms_A_coverage_mean,ms_A_coverage_std,ms_A_mean_dur_ms_mean,ms_A_mean_dur_ms_std,ms_A_occurrence_mean,ms_A_occurrence_std,ms_B_coverage_mean,ms_B_coverage_std,ms_B_mean_dur_ms_mean,ms_B_mean_dur_ms_std,ms_B_occurrence_mean,ms_B_occurrence_std,ms_C_coverage_mean,ms_C_coverage_std,ms_C_mean_dur_ms_mean,ms_C_mean_dur_ms_std,ms_C_occurrence_mean,ms_C_occurrence_std,ms_D_coverage_mean,ms_D_coverage_std,ms_D_mean_dur_ms_mean,ms_D_mean_dur_ms_std,ms_D_occurrence_mean,ms_D_occurrence_std,ms_GEV_mean,ms_GEV_std,ms_trans_AB_mean,ms_trans_AB_std,ms_trans_AC_mean,ms_trans_AC_std,ms_trans_AD_mean,ms_trans_AD_std,ms_trans_BA_mean,ms_trans_BA_std,ms_trans_BC_mean,ms_trans_BC_std,ms_trans_BD_mean,ms_trans_BD_std,ms_trans_CA_mean,ms_trans_CA_std,ms_trans_CB_mean,ms_trans_CB_std,ms_trans_CD_mean,ms_trans_CD_std,ms_trans_DA_mean,ms_trans_DA_std,ms_trans_DB_mean,ms_trans_DB_std,ms_trans_DC_mean,ms_trans_DC_std
AD,eyes_closed,2.1222221335569092e-10,2.489602220161552e-10,0.8513743435683719,0.10074133319664941,2.8109696232757492e-11,5.661104283272343e-11,0.09680548934438907,0.059199592722886205,1.616698130337754e-11,3.815417615207574e-11,0.05259300426525573,0.04420415184479958,1.2001755547097571e-11,3.2730568653112884e-11,0.03186548737926847,0.03062764198354845,1.3473879940222587e-11,3.385860472717309e-11,0.040263001483163884,0.03393533424397479,4.292829123826544e-12,1.2478037814349197e-11,0.011557165604075097,0.013663798563823453,1.1142796845415714e-12,3.3870572712568372e-12,0.0038439646715683292,0.005917847164118554,2.8779395654213675,1.0630485728142458,29.315607111629625,17.19764836986002,27.585468278726253,16.237441990861267,0.6406683974820343,0.30401830697684007,2.74672783776524,0.06225785352034812,1.4006433624066867e-11,3.599551723957927e-11,0.0333250971837022,0.03045937691896242,1.872389609929856e-11,5.177305296091495e-11,0.03774125167514765,0.0339106592176574,1.1951962214922639e-11,3.3212212972061605e-11,0.031963049707834514,0.031456516927207606,-0.004393296482957798,0.3024816244484189,10.13888888888889,0.37054228814210566,0.5103111391506087,0.0011516466143789872,0.24790958216551884,0.09880152011758546,16.32115118412435,6.6099766587091215,15.562867145675218,4.634405775256893,0.25066003505769074,0.0932900587438977,16.528523566628174,5.27380597709145,15.422693540023296,4.565697288640661,0.2749051001526175,0.1049392920322281,17.174516081971422,4.8465156940853396,16.017453529563184,5.454854399635926,0.22652528262417285,0.08346497798920907,16.017291499713064,5.063799887331115,14.641327882625108,5.19978753604702,0.7316141424148778,0.1289115688628209,0.0965315110436686,0.042538060526860405,0.0978726834813695,0.052820784048765446,0.08240487333864216,0.03653452159656269,0.08988553744416945,0.03970471589698808,0.09168502373819556,0.046002278763291264,0.08401327146433188,0.039522562375529396,0.0934660239993722,0.03770574908101969,0.07774136870695254,0.030292342237702333,0.07901923176773575,0.03990628568603616,0.08137340500849671,0.03485167979635996,0.09070141834282486,0.03915071160949493,0.10008857135429021,0.04767752893654748
FTD,eyes_closed,1.8706146776997968e-10,1.9299810510870608e-10,0.8784744941791545,0.06540246744761644,1.4068346155663578e-11,1.706272601249068e-11,0.07765304585503251,0.0352611351704941,7.292597346315881e-12,8.35097107567113e-12,0.0454053306996895,0.03483729697070906,4.275981626979875e-12,5.403281653328634e-12,0.02482290875732558,0.01751989647595938,5.4008325126648585e-12,6.323078340224363e-12,0.03262220965141718,0.022614109005106242,1.4329141739790457e-12,2.1672109003476143e-12,0.011250250314395797,0.01629552993781026,5.047855609875823e-13,8.959762440527543e-13,0.005085086708807925,0.00972435997029605,2.8123328579343068,0.9464522164679893,31.733496037182725,14.609681103555847,29.71896830549387,13.895750026639893,0.6091140664073518,0.19935246206738919,2.7170280405815785,0.14064751311791762,5.31382452913042e-12,6.826243913502162e-12,0.027109044685027357,0.01832343701329898,7.1337501278875054e-12,9.459870327995322e-12,0.03295908779704148,0.027115127932565722,3.655923115338696e-12,4.837277086856454e-12,0.022892864052380547,0.01980036348139839,-0.020617064727701046,0.16932890416181565,10.130434782608695,0.4321560982800455,0.5098882101564527,0.0019794423994670264,0.2680100712374572,0.06434741439006306,17.029536642967663,7.059541156116482,17.046814159210232,5.357013059212605,0.2598504288292599,0.05878717925500831,17.250504210608664,7.76820440384676,16.873775793204594,6.338669675881522,0.2792222137745249,0.07732342774954916,18.242985828776494,6.875784435942219,16.22412635509278,4.873464965608951,0.19291728615875806,0.07059858776231435,15.011656683460076,6.028691587731174,13.84589892794702,6.363588347989288,0.6343085187261409,0.08738752807031124,0.09631707508990486,0.046092166988606915,0.09566244539829141,0.04042522107709958,0.07438055795196774,0.04639441589295945,0.10094696104436719,0.042268650686622285,0.08432639667450709,0.03295811319836468,0.0755787906386956,0.04414231669684992,0.09058525148817057,0.03319688092825898,0.08624134250235041,0.03161678753592688,0.06658147216981669,0.03418941156305451,0.09718031152768339,0.036047541573214895,0.0979824267033437,0.04346999877572381,0.09988272617646216,0.0341631357128756
CN,eyes_closed,2.048393269430732e-10,2.2772681484646104e-10,0.8541975580344904,0.09399852976381733,3.4352804434536483e-11,1.0762251521409068e-10,0.07953825642168409,0.04656181861532103,2.1405866866311043e-11,5.679623745285461e-11,0.07485975644754786,0.06943954871610868,1.23761461131001e-11,3.7150956618323264e-11,0.03992136019334018,0.0302746778744262,1.5847815107769957e-11,4.4863318738805686e-11,0.05304660016163161,0.04153474126346711,3.6917492625338444e-12,1.3535572396585087e-11,0.013217585382193909,0.01947741229027813,8.451448390712244e-13,3.1244493679131686e-12,0.004655137451364104,0.011397892075457869,1.947745442050863,0.9828803965545335,21.72354846456567,12.269898177739007,20.86537647586413,11.72743783851554,0.6834930830568271,0.4176124505052208,2.6449925866725628,0.1158722667820291,1.498167689080457e-11,3.735108513758684e-11,0.055045658535425895,0.036792516691232104,1.9501385984437268e-11,3.826419303628792e-11,0.0745841491631722,0.05149249340363825,1.0289623659832433e-11,3.7265361572178215e-11,0.03143307614045251,0.029891472086083837,0.03455144999778462,0.19923459675302418,10.155172413793103,0.330136559295167,0.5087170034609638,0.001841550785259826,0.2395511829431695,0.06555344415163858,14.262089626804007,2.4735588846168186,16.90633161320378,4.393354273044467,0.22997291003962766,0.03709918770211251,14.528091066776149,3.791078052662616,16.666570059443163,4.242278668835631,0.3174393788622474,0.0964002180531041,17.600092130802548,5.911355196404785,18.430973566725083,2.9380105820777325,0.21303652815495544,0.07628481372475432,14.279758463642828,2.7708663089098446,14.704830838216026,4.759458518430716,0.6980003842262896,0.09919302214035439,0.09113227900104184,0.03256501794636592,0.11472272038672754,0.035424619874827305,0.08419279035588025,0.03262362435550851,0.09557843817390574,0.038035972855608856,0.10707086985891118,0.038056255077712355,0.08654836948768102,0.033246707687696116,0.08988444462632862,0.028645523341605424,0.08997349576183077,0.027605838141951673,0.06556404237487154,0.03552050278008483,0.09131259336860736,0.03319853912369233,0.08715077238155998,0.025872501175391555,0.11289359041666636,0.03939654578714851
